"Type","Group","Class","Count","Template","Sample1","Sample2","Sample3"
"TITLE_TEMPLATE","1","업체상세","137","x 상세정보 loc x 코스와 이용시간 brand","shops/seoul/gangnam-gu/역삼동/한국미인테라피/index.html || 한국미인테라피 상세정보 | 강남구 역삼동 코스와 이용시간 | 몽라운지","shops/seoul/gangnam-gu/논현동/너무이쁜테라피/index.html || 너무이쁜테라피 상세정보 | 강남구 논현동 코스와 이용시간 | 몽라운지","shops/seoul/gangnam-gu/삼성동/한국미인테라피/index.html || 한국미인테라피 상세정보 | 강남구 삼성동 코스와 이용시간 | 몽라운지"
"TITLE_TEMPLATE","2","업체상세","135","x loc x 이용 전 확인정보 brand","shops/seoul/gangnam-gu/역삼동/love테라피/index.html || love테라피 | 강남구 역삼동 이용 전 확인정보 | 몽라운지","shops/seoul/gangnam-gu/논현동/love테라피/index.html || love테라피 | 강남구 논현동 이용 전 확인정보 | 몽라운지","shops/seoul/gangnam-gu/대치동/너무이쁜테라피/index.html || 너무이쁜테라피 | 강남구 대치동 이용 전 확인정보 | 몽라운지"
"TITLE_TEMPLATE","3","업체상세","135","loc x 기준 x 코스 운영시간 안내 brand","shops/seoul/gangdong-gu/둔촌동/너무이쁜테라피/index.html || 강동구 둔촌동 기준 너무이쁜테라피 | 코스·운영시간 안내 | 몽라운지","shops/seoul/gangdong-gu/명일동/너무이쁜테라피/index.html || 강동구 명일동 기준 너무이쁜테라피 | 코스·운영시간 안내 | 몽라운지","shops/seoul/gangbuk-gu/우이동/프리미엄테라피/index.html || 강북구 우이동 기준 프리미엄테라피 | 코스·운영시간 안내 | 몽라운지"
"TITLE_TEMPLATE","4","업체상세","135","loc x x 이용 가이드 코스 연락 방법 brand","shops/seoul/gangnam-gu/개포동/love테라피/index.html || 강남구 개포동 love테라피 이용 가이드 | 코스·연락 방법 | 몽라운지","shops/seoul/gangnam-gu/압구정동/한국미인테라피/index.html || 강남구 압구정동 한국미인테라피 이용 가이드 | 코스·연락 방법 | 몽라운지","shops/seoul/gangnam-gu/일원동/너무이쁜테라피/index.html || 강남구 일원동 너무이쁜테라피 이용 가이드 | 코스·연락 방법 | 몽라운지"
"TITLE_TEMPLATE","5","업체상세","132","loc x x 코스 가격 운영정보 brand","shops/seoul/gangnam-gu/대치동/한국미인테라피/index.html || 강남구 대치동 한국미인테라피 | 코스·가격·운영정보 | 몽라운지","shops/seoul/gangnam-gu/세곡동/너무이쁜테라피/index.html || 강남구 세곡동 너무이쁜테라피 | 코스·가격·운영정보 | 몽라운지","shops/seoul/gangdong-gu/암사동/마인드좋은테라피/index.html || 강동구 암사동 마인드좋은테라피 | 코스·가격·운영정보 | 몽라운지"
"TITLE_TEMPLATE","6","업체상세","127","loc x kw x 영업시간 문의 brand","shops/seoul/gangnam-gu/역삼동/너무이쁜테라피/index.html || 강남구 역삼동 출장마사지 너무이쁜테라피 | 영업시간·문의 | 몽라운지","shops/seoul/gangnam-gu/수서동/love테라피/index.html || 강남구 수서동 출장마사지 love테라피 | 영업시간·문의 | 몽라운지","shops/seoul/gangdong-gu/명일동/프리미엄테라피/index.html || 강동구 명일동 출장마사지 프리미엄테라피 | 영업시간·문의 | 몽라운지"
"TITLE_TEMPLATE","7","업체상세","124","loc x 에서 확인하는 x 코스 가격 안내 brand","shops/seoul/gangnam-gu/개포동/너무이쁜테라피/index.html || 강남구 개포동에서 확인하는 너무이쁜테라피 | 코스·가격 안내 | 몽라운지","shops/seoul/gangdong-gu/고덕동/love테라피/index.html || 강동구 고덕동에서 확인하는 love테라피 | 코스·가격 안내 | 몽라운지","shops/seoul/gangbuk-gu/미아동/너무이쁜테라피/index.html || 강북구 미아동에서 확인하는 너무이쁜테라피 | 코스·가격 안내 | 몽라운지"
"TITLE_TEMPLATE","8","업체상세","122","x loc x 이용정보 가격 전화 문자 문의 brand","shops/seoul/gangnam-gu/도곡동/프리미엄테라피/index.html || 프리미엄테라피 강남구 도곡동 이용정보 | 가격·전화·문자 문의 | 몽라운지","shops/seoul/gangnam-gu/삼성동/love테라피/index.html || love테라피 강남구 삼성동 이용정보 | 가격·전화·문자 문의 | 몽라운지","shops/seoul/gangnam-gu/수서동/너무이쁜테라피/index.html || 너무이쁜테라피 강남구 수서동 이용정보 | 가격·전화·문자 문의 | 몽라운지"
"TITLE_TEMPLATE","9","업체상세","121","x 이용 안내 loc x 운영시간 코스 정보 brand","shops/seoul/gangnam-gu/신사동/너무이쁜테라피/index.html || 너무이쁜테라피 이용 안내 | 강남구 신사동 운영시간·코스 정보 | 몽라운지","shops/seoul/gangdong-gu/고덕동/프리미엄테라피/index.html || 프리미엄테라피 이용 안내 | 강동구 고덕동 운영시간·코스 정보 | 몽라운지","shops/seoul/gangbuk-gu/수유동/프리미엄테라피/index.html || 프리미엄테라피 이용 안내 | 강북구 수유동 운영시간·코스 정보 | 몽라운지"
"TITLE_TEMPLATE","10","업체상세","118","loc x x 코스별 시간 가격 안내 brand","shops/seoul/gangnam-gu/도곡동/너무이쁜테라피/index.html || 강남구 도곡동 너무이쁜테라피 | 코스별 시간·가격 안내 | 몽라운지","shops/seoul/gangnam-gu/삼성동/프리미엄테라피/index.html || 강남구 삼성동 프리미엄테라피 | 코스별 시간·가격 안내 | 몽라운지","shops/seoul/gangnam-gu/세곡동/한국미인테라피/index.html || 강남구 세곡동 한국미인테라피 | 코스별 시간·가격 안내 | 몽라운지"
