"Class","File","Action","OldTitle","NewTitle","OldDescription","NewDescription","TitlePattern","MetaPattern"
"업체상세","shops/seoul/gangnam-gu/한국미인테라피/index.html","변경후보","한국미인테라피 | 강남구 업체 상세정보 | 몽라운지","강남구 한국미인테라피 이용 안내 | 코스·문의 정보 | 몽라운지","역삼·논현·삼성동 중심 빠른 예약과 편안한 방문 관리","한국미인테라피 관련 강남구 이용 정보를 보기 쉽게 구성했습니다. 영업시간과 가격, 코스 구성, 연락 수단을 한 페이지에서 확인할 수 있습니다.","SHOP-T10","SHOP-M11-16"
"업체상세","shops/seoul/gangnam-gu/역삼동/한국미인테라피/index.html","변경후보","한국미인테라피 | 강남구 역삼동 이용 안내","한국미인테라피 | 강남구 역삼동 이용정보·전화·문자 문의 | 몽라운지","강남구 역삼동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 역삼동 기준 한국미인테라피 코스와 운영 정보를 확인할 수 있습니다. 가격과 코스 구성, 영업시간, 연락 수단을 한 페이지에서 확인할 수 있도록 구성했습니다.","SHOP-T15","SHOP-M16-05"
"업체상세","shops/seoul/gangnam-gu/역삼동/너무이쁜테라피/index.html","변경후보","너무이쁜테라피 | 강남구 역삼동 이용 안내","강남구 역삼동 너무이쁜테라피 이용 안내 | 코스·문의 정보 | 몽라운지","강남구 역삼동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 역삼동에서 너무이쁜테라피 이용 전 확인할 내용을 모았습니다. 코스 구성과 가격, 운영시간, 전화·문자 연락 방법 등 이용 전 필요한 정보를 담았습니다.","SHOP-T10","SHOP-M03-08"
"업체상세","shops/seoul/gangnam-gu/역삼동/love테라피/index.html","변경후보","love테라피 | 강남구 역삼동 이용 안내","love테라피 출장마사지 | 강남구 역삼동 이용 전 확인정보 | 몽라운지","강남구 역삼동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","love테라피 코스와 운영 정보를 강남구 역삼동 기준으로 정리했습니다. 영업시간과 가격, 코스 구성, 연락 수단을 한 페이지에서 확인할 수 있습니다.","SHOP-T19","SHOP-M09-16"
"업체상세","shops/seoul/gangnam-gu/역삼동/프리미엄테라피/index.html","변경후보","프리미엄테라피 | 강남구 역삼동 이용 안내","프리미엄테라피 | 강남구 역삼동 코스 정보·연락 안내 | 몽라운지","강남구 역삼동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","프리미엄테라피 이용을 검토할 때 참고할 강남구 역삼동 정보를 정리했습니다. 코스와 가격을 먼저 확인하고 영업시간과 연락 방법까지 함께 살펴볼 수 있습니다.","SHOP-T25","SHOP-M07-11"
"업체상세","shops/seoul/gangnam-gu/개포동/한국미인테라피/index.html","변경후보","한국미인테라피 | 강남구 개포동 이용 안내","강남구 개포동 한국미인테라피 | 영업시간·이용정보 | 몽라운지","강남구 개포동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 개포동에서 확인할 수 있는 한국미인테라피 이용 정보를 안내합니다. 영업시간과 가격, 코스 구성, 연락 수단을 한 페이지에서 확인할 수 있습니다.","SHOP-T38","SHOP-M14-16"
"업체상세","shops/seoul/gangnam-gu/개포동/너무이쁜테라피/index.html","변경후보","너무이쁜테라피 | 강남구 개포동 이용 안내","강남구 개포동 너무이쁜테라피 | 코스와 운영시간 | 몽라운지","강남구 개포동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","너무이쁜테라피 관련 강남구 개포동 이용 정보를 확인할 수 있습니다. 이용 전 확인하기 좋은 코스 구성, 가격, 영업시간과 문의 방법을 제공합니다.","SHOP-T04","SHOP-M02-14"
"업체상세","shops/seoul/gangnam-gu/개포동/love테라피/index.html","변경후보","love테라피 | 강남구 개포동 이용 안내","강남구 개포동 love테라피 | 이용 전 확인사항 | 몽라운지","강남구 개포동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 개포동에서 love테라피 이용 전 확인할 내용을 모았습니다. 코스·가격·운영시간과 전화·문자 문의 정보를 한 번에 확인할 수 있습니다.","SHOP-T08","SHOP-M03-12"
"업체상세","shops/seoul/gangnam-gu/개포동/프리미엄테라피/index.html","변경후보","프리미엄테라피 | 강남구 개포동 이용 안내","프리미엄테라피 강남구 개포동 | 코스와 전화·문자 문의 | 몽라운지","강남구 개포동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 개포동 기준으로 프리미엄테라피 운영 정보를 안내합니다. 코스별 가격과 운영시간을 확인하고 전화나 문자로 필요한 내용을 문의할 수 있습니다.","SHOP-T35","SHOP-M04-15"
"업체상세","shops/seoul/gangnam-gu/논현동/한국미인테라피/index.html","변경후보","한국미인테라피 | 강남구 논현동 이용 안내","한국미인테라피 | 강남구 논현동 코스 정보·연락 안내 | 몽라운지","강남구 논현동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","한국미인테라피 관련 강남구 논현동 이용 정보를 확인할 수 있습니다. 영업시간과 가격, 코스 구성, 연락 수단을 한 페이지에서 확인할 수 있습니다.","SHOP-T25","SHOP-M02-16"
"업체상세","shops/seoul/gangnam-gu/논현동/너무이쁜테라피/index.html","변경후보","너무이쁜테라피 | 강남구 논현동 이용 안내","너무이쁜테라피 강남구 논현동 코스정보 | 가격·운영시간 | 몽라운지","강남구 논현동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 논현동에서 너무이쁜테라피 이용 전 확인할 내용을 모았습니다. 영업시간과 가격, 코스 구성, 연락 수단을 한 페이지에서 확인할 수 있습니다.","SHOP-T39","SHOP-M03-16"
