"광역지역","지역명","종류","깊이","상대경로","페이지폴더"
"경기","안산시-단원구","구","3","ansan\danwon-gu\안산시-단원구-출장마사지-동별-생활권-지역안내","안산시-단원구-출장마사지-동별-생활권-지역안내"
"경기","안산시-상록구","구","3","ansan\sangnok-gu\안산시-상록구-출장마사지-동별-생활권-지역안내","안산시-상록구-출장마사지-동별-생활권-지역안내"
"경기","안산시","시","2","ansan\안산시-출장마사지-중앙-고잔-선부-산업단지-통근과-현장-일정-어깨-허리-피로-방문-홈케어","안산시-출장마사지-중앙-고잔-선부-산업단지-통근과-현장-일정-어깨-허리-피로-방문-홈케어"
"경기","안성시","시","2","anseong\안성시-출장마사지-공도-석정-대덕-산업-통근과-장시간-운전-허리-다리-피로-방문-홈케어","안성시-출장마사지-공도-석정-대덕-산업-통근과-장시간-운전-허리-다리-피로-방문-홈케어"
"경기","안양시-동안구","구","3","anyang\dongan-gu\안양시-동안구-출장마사지-동별-생활권-지역안내","안양시-동안구-출장마사지-동별-생활권-지역안내"
"경기","안양시-만안구","구","3","anyang\manan-gu\안양시-만안구-출장마사지-동별-생활권-지역안내","안양시-만안구-출장마사지-동별-생활권-지역안내"
"경기","안양시","시","2","anyang\안양시-출장마사지-평촌-범계-안양역-오피스-통근과-장시간-앉은-업무-목-허리-뻐근함-방문-홈케어","안양시-출장마사지-평촌-범계-안양역-오피스-통근과-장시간-앉은-업무-목-허리-뻐근함-방문-홈케어"
"경기","부천시-오정구","구","3","bucheon\ojeong-gu\부천시-오정구-출장마사지-동별-생활권-지역안내","부천시-오정구-출장마사지-동별-생활권-지역안내"
"경기","부천시-소사구","구","3","bucheon\sosa-gu\부천시-소사구-출장마사지-동별-생활권-지역안내","부천시-소사구-출장마사지-동별-생활권-지역안내"
"경기","부천시-원미구","구","3","bucheon\wonmi-gu\부천시-원미구-출장마사지-동별-생활권-지역안내","부천시-원미구-출장마사지-동별-생활권-지역안내"
"경기","부천시","시","2","bucheon\부천시-출장마사지-중동-상동-부천역-쇼핑-서비스-업무로-오래-선-날-다리-발-피로-방문-홈케어","부천시-출장마사지-중동-상동-부천역-쇼핑-서비스-업무로-오래-선-날-다리-발-피로-방문-홈케어"
"경기","동두천시","시","2","dongducheon\동두천시-출장마사지-지행-생연-보산-광역-통근과-생활-이동이-긴-날-어깨-허리-피로-방문-홈케어","동두천시-출장마사지-지행-생연-보산-광역-통근과-생활-이동이-긴-날-어깨-허리-피로-방문-홈케어"
"경기","가평군","군","2","gapyeong\가평군-출장마사지-가평읍-청평-설악-여행-숙박과-장시간-이동-다리-허리-피로-방문-홈케어","가평군-출장마사지-가평읍-청평-설악-여행-숙박과-장시간-이동-다리-허리-피로-방문-홈케어"
"경기","김포시","시","2","gimpo\김포시-출장마사지-장기-구래-마산-신도시-통근과-대중교통-이동-어깨-다리-피로-방문-홈케어","김포시-출장마사지-장기-구래-마산-신도시-통근과-대중교통-이동-어깨-다리-피로-방문-홈케어"
"경기","고양시-덕양구","구","3","goyang\deogyang-gu\고양시-덕양구-출장마사지-동별-생활권-지역안내","고양시-덕양구-출장마사지-동별-생활권-지역안내"
"경기","고양시-일산동구","구","3","goyang\ilsandong-gu\고양시-일산동구-출장마사지-동별-생활권-지역안내","고양시-일산동구-출장마사지-동별-생활권-지역안내"
"경기","고양시-일산서구","구","3","goyang\ilsanseo-gu\고양시-일산서구-출장마사지-동별-생활권-지역안내","고양시-일산서구-출장마사지-동별-생활권-지역안내"
