"Type","Group","Class","Count","Template","Sample1","Sample2","Sample3"
"TITLE_TEMPLATE","1","업체상세","2741","x loc x 이용 안내","shops/seoul/gangnam-gu/역삼동/한국미인테라피/index.html || 한국미인테라피 | 강남구 역삼동 이용 안내","shops/seoul/gangnam-gu/역삼동/너무이쁜테라피/index.html || 너무이쁜테라피 | 강남구 역삼동 이용 안내","shops/seoul/gangnam-gu/역삼동/love테라피/index.html || love테라피 | 강남구 역삼동 이용 안내"
"TITLE_TEMPLATE","2","업체상세","796","x loc loc x 이용 안내","shops/gyeonggi/goyang/deogyang-gu/고양동/한국미인테라피/index.html || 한국미인테라피 | 고양시-덕양구 고양동 이용 안내","shops/gyeonggi/goyang/deogyang-gu/고양동/너무이쁜테라피/index.html || 너무이쁜테라피 | 고양시-덕양구 고양동 이용 안내","shops/gyeonggi/goyang/deogyang-gu/고양동/love테라피/index.html || love테라피 | 고양시-덕양구 고양동 이용 안내"
"TITLE_TEMPLATE","3","업체상세","127","x loc loc 이용 안내","shops/seoul/guro-gu/가리봉동/한국미인테라피/index.html || 한국미인테라피 | 구로구 가리봉동 이용 안내","shops/seoul/guro-gu/가리봉동/너무이쁜테라피/index.html || 너무이쁜테라피 | 구로구 가리봉동 이용 안내","shops/seoul/guro-gu/가리봉동/love테라피/index.html || love테라피 | 구로구 가리봉동 이용 안내"
"TITLE_TEMPLATE","4","지역SEO","78","loc 생활권 안내 서울 loc 생활권 지역 이용 안내 brand","massage/화곡동-출장마사지-강서구-화곡역-주거생활권-퇴근후-목어깨-허리-피로-방문-홈케어/index.html || 화곡동 생활권 안내 | 서울 강서구 생활권·지역 이용 안내 | 몽라운지","massage/염창동-출장마사지-강서구-염창역-한강주거생활권-업무와-귀가동선-목어깨-피로-방문-홈케어/index.html || 염창동 생활권 안내 | 서울 강서구 생활권·지역 이용 안내 | 몽라운지","massage/도곡동-출장마사지-강남구-생활권-이동동선-지역정보-이용전-안내/index.html || 도곡동 생활권 안내 | 서울 강남구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","5","지역SEO","76","loc kw 서울 loc 생활권 지역 이용 안내 brand","massage/개포동-출장마사지-강남구-생활권-이동동선-지역정보-이용전-안내/index.html || 개포동 출장마사지 | 서울 강남구 생활권·지역 이용 안내 | 몽라운지","massage/대치동-출장마사지-강남구-생활권-이동동선-지역정보-이용전-안내/index.html || 대치동 출장마사지 | 서울 강남구 생활권·지역 이용 안내 | 몽라운지","massage/신사동-출장마사지-강남구-생활권-이동동선-지역정보-이용전-안내/index.html || 신사동 출장마사지 | 서울 강남구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","6","기타","69","loc 상세페이지 loc brand","gapyeong/index.html || 가평군 상세페이지 이동 | 몽라운지","mapo-gu/index.html || 마포구 상세페이지 이동 | 몽라운지","dobong-gu/index.html || 도봉구 상세페이지 이동 | 몽라운지"
"TITLE_TEMPLATE","7","지역SEO","64","loc 지역 이용 안내 서울 loc 생활권 지역 이용 안내 brand","massage/논현동-출장마사지-강남구-생활권-이동동선-지역정보-이용전-안내/index.html || 논현동 지역 이용 안내 | 서울 강남구 생활권·지역 이용 안내 | 몽라운지","massage/일원동-출장마사지-강남구-생활권-이동동선-지역정보-이용전-안내/index.html || 일원동 지역 이용 안내 | 서울 강남구 생활권·지역 이용 안내 | 몽라운지","massage/삼양동-출장마사지-강북구-생활권-이동동선-지역정보-이용전-안내/index.html || 삼양동 지역 이용 안내 | 서울 강북구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","8","지역SEO","61","loc kw 경기 loc loc 생활권 지역 이용 안내 brand","massage/가좌동-출장마사지-고양시-일산서구-생활권-이동동선-지역정보-이용전-안내/index.html || 가좌동 출장마사지 | 경기 고양시 일산서구 생활권·지역 이용 안내 | 몽라운지","massage/능곡동-출장마사지-고양시-덕양구-생활권-이동동선-지역정보-이용전-안내/index.html || 능곡동 출장마사지 | 경기 고양시 덕양구 생활권·지역 이용 안내 | 몽라운지","massage/대덕동-출장마사지-고양시-덕양구-생활권-이동동선-지역정보-이용전-안내/index.html || 대덕동 출장마사지 | 경기 고양시 덕양구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","9","지역SEO","58","loc 생활권 안내 경기 loc loc 생활권 지역 이용 안내 brand","massage/고봉동-출장마사지-고양시-일산동구-생활권-이동동선-지역정보-이용전-안내/index.html || 고봉동 생활권 안내 | 경기 고양시 일산동구 생활권·지역 이용 안내 | 몽라운지","massage/관산동-출장마사지-고양시-덕양구-생활권-이동동선-지역정보-이용전-안내/index.html || 관산동 생활권 안내 | 경기 고양시 덕양구 생활권·지역 이용 안내 | 몽라운지","massage/마두동-출장마사지-고양시-일산동구-생활권-이동동선-지역정보-이용전-안내/index.html || 마두동 생활권 안내 | 경기 고양시 일산동구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","10","지역SEO","54","loc 지역 이용 안내 경기 loc loc 생활권 지역 이용 안내 brand","massage/고양동-출장마사지-고양시-덕양구-생활권-이동동선-지역정보-이용전-안내/index.html || 고양동 지역 이용 안내 | 경기 고양시 덕양구 생활권·지역 이용 안내 | 몽라운지","massage/대화동-출장마사지-고양시-일산서구-생활권-이동동선-지역정보-이용전-안내/index.html || 대화동 지역 이용 안내 | 경기 고양시 일산서구 생활권·지역 이용 안내 | 몽라운지","massage/덕이동-출장마사지-고양시-일산서구-생활권-이동동선-지역정보-이용전-안내/index.html || 덕이동 지역 이용 안내 | 경기 고양시 일산서구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","11","지역SEO","54","loc 생활권 안내 x loc 생활권 지역 이용 안내 brand","massage/관평동-출장마사지-대전-유성구-생활권-이동동선-지역정보-이용전-안내/index.html || 관평동 생활권 안내 | 대전 유성구 생활권·지역 이용 안내 | 몽라운지","massage/대화동-출장마사지-대전-대덕구-생활권-이동동선-지역정보-이용전-안내/index.html || 대화동 생활권 안내 | 대전 대덕구 생활권·지역 이용 안내 | 몽라운지","massage/상대동-출장마사지-대전-유성구-생활권-이동동선-지역정보-이용전-안내/index.html || 상대동 생활권 안내 | 대전 유성구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","12","지역SEO","52","loc 지역 이용 안내 경기 loc 생활권 지역 이용 안내 brand","massage/과천동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 과천동 지역 이용 안내 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지","massage/문원동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 문원동 지역 이용 안내 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지","massage/원문동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 원문동 지역 이용 안내 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","13","업체상세","50","x 천안 x 이용 안내","shops/other/cheonan/dongnam-gu/광덕면/한국미인테라피/index.html || 한국미인테라피 | 천안 광덕면 이용 안내","shops/other/cheonan/dongnam-gu/광덕면/love테라피/index.html || love테라피 | 천안 광덕면 이용 안내","shops/other/cheonan/dongnam-gu/동면/한국미인테라피/index.html || 한국미인테라피 | 천안 동면 이용 안내"
"TITLE_TEMPLATE","14","지역SEO","41","loc 생활권 안내 경기 loc 생활권 지역 이용 안내 brand","massage/갈현동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 갈현동 생활권 안내 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지","massage/소하동-출장마사지-광명시-생활권-이동동선-지역정보-이용전-안내/index.html || 소하동 생활권 안내 | 경기 광명시 생활권·지역 이용 안내 | 몽라운지","massage/경안동-출장마사지-광주시-생활권-이동동선-지역정보-이용전-안내/index.html || 경안동 생활권 안내 | 경기 광주시 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","15","지역SEO","41","loc 지역 이용 안내 x loc 생활권 지역 이용 안내 brand","massage/노은동-출장마사지-대전-유성구-생활권-이동동선-지역정보-이용전-안내/index.html || 노은동 지역 이용 안내 | 대전 유성구 생활권·지역 이용 안내 | 몽라운지","massage/덕암동-출장마사지-대전-대덕구-생활권-이동동선-지역정보-이용전-안내/index.html || 덕암동 지역 이용 안내 | 대전 대덕구 생활권·지역 이용 안내 | 몽라운지","massage/목상동-출장마사지-대전-대덕구-생활권-이동동선-지역정보-이용전-안내/index.html || 목상동 지역 이용 안내 | 대전 대덕구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","16","지역SEO","40","loc kw x loc 생활권 지역 이용 안내 brand","massage/구즉동-출장마사지-대전-유성구-생활권-이동동선-지역정보-이용전-안내/index.html || 구즉동 출장마사지 | 대전 유성구 생활권·지역 이용 안내 | 몽라운지","massage/송촌동-출장마사지-대전-대덕구-생활권-이동동선-지역정보-이용전-안내/index.html || 송촌동 출장마사지 | 대전 대덕구 생활권·지역 이용 안내 | 몽라운지","massage/신탄진동-출장마사지-대전-대덕구-생활권-이동동선-지역정보-이용전-안내/index.html || 신탄진동 출장마사지 | 대전 대덕구 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","17","지역SEO","40","loc kw 경기 loc 생활권 지역 이용 안내 brand","massage/별양동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 별양동 출장마사지 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지","massage/부림동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 부림동 출장마사지 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지","massage/중앙동-출장마사지-과천시-생활권-이동동선-지역정보-이용전-안내/index.html || 중앙동 출장마사지 | 경기 과천시 생활권·지역 이용 안내 | 몽라운지"
"TITLE_TEMPLATE","18","지역SEO","29","x x 지역 안내 kw 이용 범위 생활권 정보 brand","massage/반포면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 공주 반포면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지","massage/신풍면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 공주 신풍면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지","massage/우성면-출장마사지-공주-생활권-지역정보-이용안내/index.html || 공주 우성면 지역 안내 | 출장마사지 이용 범위·생활권 정보 | 몽라운지"
